molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3963283,C[C@@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3ncccc3F)nn12,136.0,PAK4,CHEMBL4523,active,136.0,6.866461091629782,418.4800000000002,3.3850000000000016,2,8
CHEMBL3933147,C[C@H]1CC[C@@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3ncccc3F)nn12,2.8,PAK4,CHEMBL4523,active,2.8,8.55284196865778,418.4800000000002,3.3850000000000016,2,8
CHEMBL3902228,C[C@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H]1N,15.7,PAK4,CHEMBL4523,active,15.7,7.804100347590766,435.48200000000014,3.986600000000002,2,7
CHEMBL4107702,C[C@@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@@H]1N,1.6,PAK4,CHEMBL4523,intermediate,1.6,8.795880017344075,435.48200000000014,3.986600000000002,2,7
CHEMBL3896244,C[C@@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H]1N,0.2,PAK4,CHEMBL4523,intermediate,0.2,9.69897000433602,435.48200000000014,3.986600000000002,2,7
CHEMBL3931390,C[C@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@@H]1N,32.4,PAK4,CHEMBL4523,inactive,32.4,7.489454989793388,435.48200000000014,3.986600000000002,2,7
CHEMBL3903273,Cc1oncc1-c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,1000.0,PAK4,CHEMBL4523,active,1000.0,6.0,404.3800000000001,4.776520000000002,1,7
CHEMBL3974415,C[C@]1(N)CCCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,9.6,PAK4,CHEMBL4523,active,9.6,8.017728766960431,435.4820000000002,4.130700000000003,2,7
CHEMBL3931404,Fc1cccc(F)c1-c1ccc2cnc(Nc3cnccc3C3=CCNCC3)n2n1,1050.0,PAK4,CHEMBL4523,active,1050.0,5.978810700930062,404.4240000000002,4.1898000000000035,2,6
CHEMBL3906955,Cc1noc(C)c1-c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,5000.0,PAK4,CHEMBL4523,active,5000.0,5.301029995663981,418.4070000000001,5.084940000000002,1,7
CHEMBL3981760,CSc1nccc(-c2cc(C(N)=O)nn2C2CCNCC2)n1,10000.0,PAK4,CHEMBL4523,active,10000.0,5.0,318.40600000000006,1.0853999999999995,2,7
CHEMBL3980131,CC1CCCCN1c1cncc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)n1,2.063,PAK4,CHEMBL4523,active,2.063,8.685500772026849,375.43600000000015,3.6359000000000012,2,7
