molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50
CHEMBL460472,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,25000.0,PAK4,CHEMBL4523,intermediate,25000.0,4.6020599913279625
CHEMBL2031893,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,25000.0,PAK4,CHEMBL4523,intermediate,25000.0,4.6020599913279625
CHEMBL2035603,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Br)cc12,781.0,PAK4,CHEMBL4523,intermediate,781.0,6.1073489661227
CHEMBL2035597,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccccc12,5000.0,PAK4,CHEMBL4523,intermediate,5000.0,5.301029995663981
CHEMBL2035598,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(Cl)cc12,858.0,PAK4,CHEMBL4523,intermediate,858.0,6.066512712151295
CHEMBL2035604,Cc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,3934.0,PAK4,CHEMBL4523,intermediate,3934.0,5.405165644416682
CHEMBL2035605,COc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,1451.0,PAK4,CHEMBL4523,intermediate,1451.0,5.838332587562264
CHEMBL2035606,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(O)cc12,3755.0,PAK4,CHEMBL4523,intermediate,3755.0,5.425390058659813
CHEMBL2035607,N#Cc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,3429.0,PAK4,CHEMBL4523,intermediate,3429.0,5.464832514885056
CHEMBL2035608,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(-c3ccccc3)cc12,5000.0,PAK4,CHEMBL4523,intermediate,5000.0,5.301029995663981
CHEMBL2035609,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(OC(F)(F)F)cc12,5000.0,PAK4,CHEMBL4523,intermediate,5000.0,5.301029995663981
CHEMBL2035610,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1ccc(C(F)(F)F)cc12,2330.0,PAK4,CHEMBL4523,intermediate,2330.0,5.632644078973981
CHEMBL2035611,Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,5000.0,PAK4,CHEMBL4523,intermediate,5000.0,5.301029995663981
CHEMBL2035612,CNc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,5000.0,PAK4,CHEMBL4523,intermediate,5000.0,5.301029995663981
CHEMBL2035613,CC(=O)Nc1ccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c2c1,5000.0,PAK4,CHEMBL4523,intermediate,5000.0,5.301029995663981
CHEMBL2035614,O=c1[nH]c(-c2ccccc2Cl)nc2c1oc1cc(O)ccc12,2377.0,PAK4,CHEMBL4523,intermediate,2377.0,5.62397081827182
CHEMBL2035615,COc1ccc2c(c1)oc1c(=O)[nH]c(-c3ccccc3Cl)nc12,5000.0,PAK4,CHEMBL4523,active,5000.0,5.301029995663981
CHEMBL2035616,COc1cccc2oc3c(=O)[nH]c(-c4ccccc4Cl)nc3c12,5000.0,PAK4,CHEMBL4523,active,5000.0,5.301029995663981
CHEMBL2035617,O=c1[nH]c(-c2c(F)cccc2Cl)nc2c1oc1ccc(C3CC3)cc12,3330.0,PAK4,CHEMBL4523,intermediate,3330.0,5.47755576649368
CHEMBL2035618,COc1ccccc1-c1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1,5000.0,PAK4,CHEMBL4523,active,5000.0,5.301029995663981
